,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
5198,Ca6Rh8Sn26,199.9,223,9.907276,9.907276,9.907276,90.0,90.0,90.0
5199,Ni1Sb1Sc1,376.809,216,4.357151,4.357151,4.357151,60.0,60.0,60.0
5200,Ho16In4Rh4,209.697,216,9.59002,9.59002,9.59002,60.0,60.0,60.0
5201,Nb6Sn6Tb1,346.068,191,5.84331,5.84331,9.738552,90.0,90.0,120.0005
5202,Ga3Hf3Ni3,340.759,189,6.832921,6.832921,3.410975,90.0,90.0,120.0014
5203,Be1H3Na1,950.422,221,3.343824,3.343824,3.343824,90.0,90.0,90.0
5204,Ca1Cd2P2,315.166,164,4.304648,4.304648,7.046276,89.99781,90.00219,119.9968
5205,Ca4S12Zr4,381.806,62,6.586789,7.08376,9.666447,90.0,90.0,90.0
5206,Fe1Ga2Hf6,254.149,189,7.814258,7.814258,3.276186,90.0,90.0,120.0103
5207,Ca4Ga4Ge4,309.24,194,4.242295,4.242167,17.32138,90.0,90.0,120.001
5208,Al36Mg6W4,494.434,227,10.39972,10.39972,10.39972,60.0,60.0,60.0
5209,Ag3Pb3Y3,213.372,189,7.558312,7.558312,4.572927,90.0,90.0,120.0006
5210,Al2Pd5Y1,329.966,139,8.009847,8.009847,8.009847,150.0914,150.0914,42.80728
5211,Pd3Sc3Sn3,292.99,189,7.637342,7.637342,3.638963,90.0,90.0,119.9998
5212,Al8C2O8,701.973,36,5.189548,5.189548,9.174127,90.0,90.0,112.2306
5213,F6Na2Ni2,395.351,63,5.32602,5.32602,7.466701,90.0,90.0,146.5938
5214,Al4Ca12Sb12,252.094,62,4.526126,12.96051,14.33962,90.0,90.0,90.0
5215,Cs2F6Ge1,134.868,225,6.432217,6.432217,6.432217,60.0,60.0,60.0
5216,Co2Ga1Ta1,371.763,225,4.269786,4.269786,4.269786,60.0,60.0,60.0
5217,La2Tl2Zn2,234.304,194,4.813066,4.813066,8.018954,90.0,90.0,120.0001
5218,Ge2Pd2Th1,270.314,139,5.990846,5.990846,5.990846,137.215,137.215,62.1074
5219,Ho3In1N1,309.154,221,4.791749,4.791749,4.791749,90.0,90.0,90.0
5220,Ni6Sb8Zr6,346.689,220,7.886189,7.886189,7.886189,109.4712,109.4712,109.4712
5221,Mo2Pt4Si6,396.71,26,3.4977359999999997,5.522011,9.228335,90.00011,90.0,90.0
5222,Al1Co2Nb1,476.419,225,4.291436,4.291436,4.291436,60.0,60.0,60.0
5223,Er6Ge26Ir8,327.796,223,8.989826,8.989826,8.989826,90.0,90.0,90.0
5224,Ba4Ca4Ge4,210.816,62,5.097344,8.584648,9.26929,90.0,90.0,90.0
5225,C1Pu1Rh3,127.715,221,4.168867,4.168867,4.168867,90.0,90.0,90.0
5226,Ir4Mn12Si4,353.384,198,6.751998,6.751998,6.751998,90.0,90.0,90.0
5227,H3Mg1Ni1,511.372,221,3.31427,3.31427,3.31427,90.0,90.0,90.0
5228,Ca3Ga4Ni4,298.936,217,6.376642,6.376642,6.376642,109.4712,109.4712,109.4712
5229,Pt4Se4Si4,342.15,29,5.917906,5.969937,6.080757,90.0,90.0,90.0
5230,Ba1Os2P2,274.343,139,6.753257,6.753257,6.753257,144.7891,144.7891,50.64888
5231,Cu2Hf1In1,282.913,225,4.51679,4.51679,4.51679,60.0,60.0,60.0
5232,Al16Pt7Ti6,402.445,225,8.653951,8.653951,8.653951,60.0,60.0,60.0
5233,As4Pd4Se4,249.877,198,6.182105,6.182105,6.182105,90.0,90.0,90.0
5234,Br2La10Sn6,215.862,193,9.780364,9.780424,7.063959,90.0,90.0,119.9998
5235,Bi4Fe4O12,403.414,62,5.503394,5.742318,7.9031,90.0,90.0,90.0
5236,B1Ir3Sc1,372.415,221,4.135597,4.135597,4.135597,90.0,90.0,90.0
5237,Cu4Mg1Sn1,353.646,216,5.034617,5.034617,5.034617,60.0,60.0,60.0
5238,Ca3N1Sn1,202.479,221,5.911984,5.911984,5.911984,90.0,90.0,90.0
5239,Ca1Cs1H3,310.26,221,4.606335,4.606335,4.606335,90.0,90.0,90.0
5240,Al1Co2Ta1,427.572,225,4.270584,4.270584,4.270584,60.0,60.0,60.0
5241,As1Cd1Pd5,266.501,123,4.023709,4.023709,7.078638,90.0,90.0,90.0
5242,Ge3Hf3Rh3,309.071,189,6.619251,6.619251,3.920417,90.0,90.0,120.0003
5243,H3Pd1Yb1,315.577,221,3.7149419999999997,3.7149419999999997,3.7149419999999997,90.0,90.0,90.0
5244,Ag2Sn2Tb2,238.433,186,4.782584,4.782859,7.463205,90.0,90.0,119.9981
5245,Cu2Rh4Se8,213.536,227,7.375303,7.375303,7.375303,60.0,60.0,60.0
5246,Hf1In1Ni2,284.887,225,4.40936,4.40936,4.40936,60.0,60.0,60.0
5247,As2Rh2Sr1,224.626,139,6.3305,6.3305,6.3305,140.8533,140.8533,56.55992
5248,F6Ni1Rb2,186.487,225,6.110538,6.110538,6.110538,60.0,60.0,60.0
5249,Ga4Pt4Y4,212.172,62,4.435718,6.924521,7.661065,90.0,90.0,90.0
5250,Au2Dy1In1,154.294,225,4.923624,4.923624,4.923624,60.0,60.0,60.0
5251,Re3Si3Ta3,378.87,189,6.887929,6.887929,3.327587,90.0,90.0,120.0
5252,Fe4Hf4Si4,366.881,62,3.647944,6.732448,7.716498,90.0,90.0,90.0
5253,Ga4Li4Se8,235.118,33,6.640296,6.946413,8.347534,90.0,90.0,90.0
5254,Mo16N4Ni8,470.253,227,7.975604,7.975604,7.975604,60.0,60.0,60.0
5255,Ba2F8Ni2,313.549,36,7.690239,7.690239,5.895362,90.0,90.0,148.2858
5256,Hf4Mo4Si4,409.86,62,3.510766,6.967404,8.221606,90.0,90.0,90.0
5257,Co1In8Y2,233.691,123,4.575599,4.575599,12.1823,90.0,90.0,90.0
5258,Al1Ba1Ge1,291.587,187,4.380117,4.380175,5.183809,90.0,90.0,119.9996
5259,Er1Pd1Sb1,242.351,216,4.630208,4.630208,4.630208,60.0,60.0,60.0
5260,La2Pd4Sb4,202.42,129,4.687599,4.687599,10.5581,90.0,90.0,90.0
5261,Mn1Ni1Sb1,275.784,216,4.258724,4.258724,4.258724,60.0,60.0,60.0
5262,C1Sn1Y3,377.163,221,4.904558,4.904558,4.904558,90.0,90.0,90.0
5263,Sn6V6Y1,378.868,191,5.570278,5.570237,9.401966,90.0,90.0,120.0002
5264,Ge4Mg4N8,629.125,33,5.227196,5.551732,6.675813,90.0,90.0,90.0
5265,La6Sb10Zr2,222.566,193,9.716005,9.71612,6.414662,90.0,90.0,119.9996
5266,Al8Ba4Ge8,300.431,62,4.3184249999999995,10.26206,11.06674,90.0,90.0,90.0
5267,Mn1O3Sr1,588.455,221,3.888286,3.888286,3.888286,90.0,90.0,90.0
5268,C1Pb1Pd3,218.246,221,4.280797,4.280797,4.280797,90.0,90.0,90.0
5269,Ni1Sc6Te2,313.485,189,7.919975,7.919975,3.781879,90.0,90.0,120.001
5270,Ru3Sc3Si3,531.935,189,6.979115,6.979115,3.392149,90.0,90.0,120.0001
5271,Ag2In1Sc1,179.978,225,4.828689,4.828689,4.828689,60.0,60.0,60.0
5272,Ga1O3Pr1,370.95,221,4.331693,4.331693,4.331693,90.0,90.0,90.0
5273,Mg2O12Sb4,594.037,136,4.72742,4.72742,9.386858,90.0,90.0,90.0
5274,Co1O3Sr1,482.922,221,3.8678600000000003,3.8678600000000003,3.8678600000000003,90.0,90.0,90.0
5275,As4Cu4S4,290.488,62,3.8174349999999997,5.505446,11.42297,90.0,90.0,90.0
5276,Cu2Li1P2,374.473,139,5.518249,5.518249,5.518249,138.6479,138.6479,59.91213
5277,Au6Dy6Sb8,214.329,220,8.583704000000001,8.583704000000001,8.583704000000001,109.4712,109.4712,109.4712
5278,Ba1O3Pr1,375.018,221,4.478504,4.478504,4.478504,90.0,90.0,90.0
5279,In3La3Pd3,184.899,189,7.820085,7.82006,4.196571,90.0,90.0,120.0001
5280,O6Sr2Zr2,546.964,140,5.902653,5.902653,5.902653,120.7937,120.7937,88.63075
5281,Cr4Se8Zn2,286.955,227,7.537615,7.537615,7.537615,60.0,60.0,60.0
5282,O14Pt4Tl4,390.38,227,7.29048,7.29048,7.29048,60.0,60.0,60.0
5283,Cu2Ga2O4,446.131,194,3.001784,3.001734,11.51398,90.0,90.0,120.0005
5284,Rb2Te4Y2,178.898,194,4.524461,4.524461,17.14659,90.0,90.0,119.9997
5285,Cd1F3Rb1,279.219,221,4.487885,4.487885,4.487885,90.0,90.0,90.0
5286,Na2O6Ta2,566.343,127,5.574639,5.574639,3.99987,90.0,90.0,90.0
5287,In1Ni2Zr1,290.22,225,4.44463,4.44463,4.44463,60.0,60.0,60.0
5288,Cu3Nb1S4,280.034,215,5.563359,5.563359,5.563359,90.0,90.0,90.0
5289,Nb4P4Zr4,481.418,62,3.586992,6.921384,8.359971999999999,90.0,90.0,90.0
